launch_id,name,status,window_start,window_end,provider,launch_site_name,launch_site_location,orbit
2a29a629-f28c-4fc4-8e5f-48e959e0a5b1,PSLV-DL | XPoSat,Launch Successful,2024-01-01T03:40:00Z,2024-01-01T03:40:00Z,Indian Space Research Organization,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
161dbc75-e973-44f7-a346-6254aec99900,Falcon 9 Block 5 | Starlink Group 7-9,Launch Successful,2024-01-03T02:13:00Z,2024-01-03T06:02:10Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
1d374bef-0e4e-4b3f-b45b-25c14aaa2b0e,Falcon 9 Block 5 | Ovzon-3,Launch Successful,2024-01-03T23:04:00Z,2024-01-03T23:14:00Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 2, 'name': 'Geostationary Transfer Orbit', 'abbrev': 'GTO'}"
7ec40d08-8efd-470a-907e-bb9d34fac5af,Kuaizhou-1A | Tianmu-1 15-18,Launch Successful,2024-01-05T11:09:00Z,2024-01-05T11:32:00Z,ExPace,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
60634a63-633d-42b3-b87e-710e7e0d4282,Falcon 9 Block 5 | Starlink Group 6-35,Launch Successful,2024-01-07T21:00:40Z,2024-01-08T00:35:10Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
b973e965-3901-4bda-9236-b0afee33f388,Vulcan VC2S | Peregrine lunar lander (Maiden flight),Launch Successful,2024-01-08T07:18:00Z,2024-01-08T08:03:00Z,United Launch Alliance,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA","{'id': 11, 'name': 'Lunar Orbit', 'abbrev': 'LO'}"
1977a934-90e5-4ea6-ab2f-7ed17c03c30a,Long March 2C | Einstein Probe,Launch Successful,2024-01-09T06:51:00Z,2024-01-09T07:52:00Z,China Aerospace Science and Technology Corporation,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
5df41f2a-0cf1-4634-92f9-c815086d8d45,Kuaizhou 1A | Tianxing-1-02,Launch Successful,2024-01-11T03:42:00Z,2024-01-11T04:10:00Z,ExPace,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
e4d243bc-153c-454f-a426-69100b0daedc,Gravity-1 | Maiden flight,Launch Successful,2024-01-11T05:15:00Z,2024-01-11T07:05:00Z,Orienspace Technology,Haiyang Spaceport,Sea Launch,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
46f4ff24-443b-46e3-b90d-ebae5dcdef37,H-IIA 202 | IGS Optical 8,Launch Successful,2024-01-12T04:44:26Z,2024-01-12T04:45:29Z,Mitsubishi Heavy Industries,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
