Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
3M,https://en.wikipedia.org/wiki/3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",Conglomerate,32.68,6.99,85000,,William M. Brown,J. Danley BuddHenry S. BryanWilliam A. McGonagleJohn DwanHermon W. CableCharles Simmons[2],1902
A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,Industrials,Building Products,"Milwaukee, Wisconsin",Water technology,2.9,0.37,15100,,president & CEO),Charles Jeremiah Smith[1],1874
Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois","Health care, Medical devices, Pharmaceutical",40.1,5.72,114000,,Robert B. Ford,Wallace Calvin Abbott,1888
AbbVie,https://en.wikipedia.org/wiki/AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",Biopharmaceutical,54.32,4.873,50000,,Richard A. Gonzalez,,2012
Accenture,https://en.wikipedia.org/wiki/Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland","Professional services, Information technology consulting",64.9,7.42,774000,,Julie Sweet,,1989
Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,Information Technology,Application Software,"San Jose, California",Software,19.41,5.428,29945,,Shantanu Narayen,John WarnockCharles Geschke,1982
Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,Information Technology,Semiconductors,"Santa Clara, California",Semiconductors,22.68,0.854,26000,,Lisa Su,Team led by Dhaduk Gaurang 14,1969
AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",Energy,12.7,0.249,9600,,Jay Morse,Roger SantDennis Bakke,1981
Aflac,https://en.wikipedia.org/wiki/Aflac,Financials,Life & Health Insurance,"Columbus, Georgia","Insurance, Human resources services",18.7,4.659,12785,,CEO)Frederick J. Crawford,John AmosPaul AmosBill Amos,1955
Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Healthcare equipment and services,6.83,1.24,18100,,Padraig McDonnell,,1999
Air Products,https://en.wikipedia.org/wiki/Air_Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania","Industrial gas, chemicals",12.1,3.86,23000,,Seifi Ghasemi,Leonard P. Pool,1940
Airbnb,https://en.wikipedia.org/wiki/Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",Lodging,5.99,0.352,6907,,Brian Chesky,Brian CheskyJoe GebbiaNathan Blecharczyk,2008
Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts","Internet, Cloud computing",3.81,0.548,10250,,F. Thomson Leighton,Daniel LewinF. Thomson LeightonRandall KaplanPreetish NijhawanJonathan Seelig,1998
Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",Chemical industry,9.62,1.57,9000,,Kent Masters,,1994
Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,Real Estate,Office REITs,"Pasadena, California",Real estate investment trust,2.588,0.513,593,,,Joel S. MarcusJerry M. Sudarsky,1994
Align Technology,https://en.wikipedia.org/wiki/Align_Technology,Health Care,Health Care Supplies,"Tempe, Arizona",Orthodontics devices,3.86,0.445,21610,,Joe Hogan,Zia ChishtiKelsey Wirth,1997
Allegion,https://en.wikipedia.org/wiki/Allegion,Industrials,Building Products,"Dublin, Ireland","Security, Access control",3.27,0.458,12000,,,,1908
Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,Utilities,Electric Utilities,"Madison, Wisconsin",Utilities,3.669,0.674,3375,,,,1917
Allstate,https://en.wikipedia.org/wiki/Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",Insurance,57.09,0.213,53000,,and CEO),,1931
